experiment,mode,control,paired_end,genome,strand_specific,moeity,ip_type,sample_name,read_length,GSM,Group,Species,Cell,Genotype,Other,Condition,Replicate,ControlType,Shearing_method,SRX,mode_group,clean_name,corr_min,corr_max,corr_median,corr_mean,corr_sd,corr_skewness,corr_kurtosis,corr_method,rlfs_min,rlfs_max,rlfs_median,rlfs_mean,rlfs_sd,rlfs_skewness,rlfs_kurtosis,rlfs_method,rlfs_pval,3UTR__Number of peaks,3UTR__Total size (bp),3UTR__Log2 Ratio (obs/exp),3UTR__LogP enrichment (+values depleted),Retroposon__Number of peaks,Retroposon__Total size (bp),Retroposon__Log2 Ratio (obs/exp),Retroposon__LogP enrichment (+values depleted),RNA__Number of peaks,RNA__Total size (bp),RNA__Log2 Ratio (obs/exp),RNA__LogP enrichment (+values depleted),miRNA__Number of peaks,miRNA__Total size (bp),miRNA__Log2 Ratio (obs/exp),miRNA__LogP enrichment (+values depleted),ncRNA__Number of peaks,ncRNA__Total size (bp),ncRNA__Log2 Ratio (obs/exp),ncRNA__LogP enrichment (+values depleted),TTS__Number of peaks,TTS__Total size (bp),TTS__Log2 Ratio (obs/exp),TTS__LogP enrichment (+values depleted),LINE__Number of peaks,LINE__Total size (bp),LINE__Log2 Ratio (obs/exp),LINE__LogP enrichment (+values depleted),srpRNA__Number of peaks,srpRNA__Total size (bp),srpRNA__Log2 Ratio (obs/exp),srpRNA__LogP enrichment (+values depleted),SINE__Number of peaks,SINE__Total size (bp),SINE__Log2 Ratio (obs/exp),SINE__LogP enrichment (+values depleted),RC__Number of peaks,RC__Total size (bp),RC__Log2 Ratio (obs/exp),RC__LogP enrichment (+values depleted),tRNA__Number of peaks,tRNA__Total size (bp),tRNA__Log2 Ratio (obs/exp),tRNA__LogP enrichment (+values depleted),pseudo__Number of peaks,pseudo__Total size (bp),pseudo__Log2 Ratio (obs/exp),pseudo__LogP enrichment (+values depleted),DNA__Number of peaks,DNA__Total size (bp),DNA__Log2 Ratio (obs/exp),DNA__LogP enrichment (+values depleted),Exon__Number of peaks,Exon__Total size (bp),Exon__Log2 Ratio (obs/exp),Exon__LogP enrichment (+values depleted),Intron__Number of peaks,Intron__Total size (bp),Intron__Log2 Ratio (obs/exp),Intron__LogP enrichment (+values depleted),Intergenic__Number of peaks,Intergenic__Total size (bp),Intergenic__Log2 Ratio (obs/exp),Intergenic__LogP enrichment (+values depleted),Promoter__Number of peaks,Promoter__Total size (bp),Promoter__Log2 Ratio (obs/exp),Promoter__LogP enrichment (+values depleted),5UTR__Number of peaks,5UTR__Total size (bp),5UTR__Log2 Ratio (obs/exp),5UTR__LogP enrichment (+values depleted),snoRNA__Number of peaks,snoRNA__Total size (bp),snoRNA__Log2 Ratio (obs/exp),snoRNA__LogP enrichment (+values depleted),scRNA__Number of peaks,scRNA__Total size (bp),scRNA__Log2 Ratio (obs/exp),scRNA__LogP enrichment (+values depleted),CpG-Island__Number of peaks,CpG-Island__Total size (bp),CpG-Island__Log2 Ratio (obs/exp),CpG-Island__LogP enrichment (+values depleted),Low_complexity__Number of peaks,Low_complexity__Total size (bp),Low_complexity__Log2 Ratio (obs/exp),Low_complexity__LogP enrichment (+values depleted),LTR__Number of peaks,LTR__Total size (bp),LTR__Log2 Ratio (obs/exp),LTR__LogP enrichment (+values depleted),Simple_repeat__Number of peaks,Simple_repeat__Total size (bp),Simple_repeat__Log2 Ratio (obs/exp),Simple_repeat__LogP enrichment (+values depleted),snRNA__Number of peaks,snRNA__Total size (bp),snRNA__Log2 Ratio (obs/exp),snRNA__LogP enrichment (+values depleted),Unknown__Number of peaks,Unknown__Total size (bp),Unknown__Log2 Ratio (obs/exp),Unknown__LogP enrichment (+values depleted),Satellite__Number of peaks,Satellite__Total size (bp),Satellite__Log2 Ratio (obs/exp),Satellite__LogP enrichment (+values depleted),rRNA__Number of peaks,rRNA__Total size (bp),rRNA__Log2 Ratio (obs/exp),rRNA__LogP enrichment (+values depleted),Other__Number of peaks,Other__Total size (bp),Other__Log2 Ratio (obs/exp),Other__LogP enrichment (+values depleted),ARTEFACT__Number of peaks,ARTEFACT__Total size (bp),ARTEFACT__Log2 Ratio (obs/exp),ARTEFACT__LogP enrichment (+values depleted),miscRNA__Number of peaks,miscRNA__Total size (bp),miscRNA__Log2 Ratio (obs/exp),miscRNA__LogP enrichment (+values depleted),MACS2__Distinct Peak Count,EPIC2__Distinct Peak Count,MACS2__Overlapping Peak Count,EPIC2__Overlapping Peak Count,MACS2__Percentage Peaks Overlapping,EPIC2__Percentage Peaks Overlapping,MACS2__total_peaks,EPIC2__total_peaks,reads_before,reads_after,percent_passing,gc_content,read_length_after_filter,reads_aligned,pct_aligned,duplicate_reads,pct_duplicated
SRR7942349,MapR,SRR7942350,TRUE,hg38,FALSE,RNA,RNaseH1,SRX4776632_MapR_293_ActD_rep1,38,GSM3406764,Sarma,HS,HEK293T,WT,ActD,ACTD,1,Input,MNase,SRX4776632,MapR,MapR_HEK293T_Sarma_ACTD_SRX4776632,0.387815976810449,0.62889353132787,0.477510974411723,0.501649797795758,0.0845475532618261,0.146524913152038,1.38745662620888,unbiased,-5000,5000,-100,-122.284162742689,1559.60199772926,-0.0435099582319434,3.67932545707614,unbiased,2.699837725867246,      163.000, 26833139.000,        1.495,      -67.578,        0.000,  4065752.000,       -3.289,        8.771,        0.000,   108000.000,       -0.302,        0.233,        2.000,    97618.000,        3.248,       -3.949,       57.000,  7044597.000,        1.908,      -36.347,      206.000, 32410833.000,        1.560,      -91.186,      252.000,633313800.000,       -2.438,      800.622,        1.000,   262214.000,        0.823,       -0.840,      275.000,379727398.000,       -1.574,      271.524,        0.000,   362795.000,       -0.834,        0.782,        0.000,    91810.000,       -0.261,        0.198,       11.000,  2119112.000,        1.268,       -4.908,       99.000, 99409274.000,       -1.114,       42.488,      437.000, 37120946.000,        2.449,     -398.472,     2890.000,656124269.000,        1.031,     -823.904,     1280.000,781173195.000,       -0.396,       72.057,      454.000, 35950465.000,        2.550,     -440.828,       35.000,  2601483.000,        2.642,      -37.291,        0.000,      357.000,       -0.001,        0.001,        0.000,   121738.000,       -0.336,        0.262,      138.000,  9013891.000,        2.828,     -156.247,       13.000,  5482741.000,        0.137,       -0.908,      265.000,262232234.000,       -1.093,      109.921,       66.000, 34773912.000,       -0.184,        1.815,        0.000,   314496.000,       -0.747,        0.678,        0.000,   714206.000,       -1.345,        1.540,       15.000, 75575236.000,       -3.441,      116.002,        0.000,   202619.000,       -0.523,        0.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  543.0,27957.0, 6659.0, 5448.0,   92.5,   16.3, 7202.0,33405.0,34156720,33671302,98.6,37,37,30294706,89.971887632976,2688994,7.986011351743986
SRR7942351,MapR,SRR7942352,TRUE,hg38,FALSE,RNA,RNaseH1,SRX4776634_MapR_293_ActD_rep2,38,GSM3406766,Sarma,HS,HEK293T,WT,ActD,ACTD,2,Input,MNase,SRX4776634,MapR,MapR_HEK293T_Sarma_ACTD_SRX4776634,0.42003800265348,0.649734458289903,0.508391004202123,0.52787551915336,0.0774842735097475,0.147972778595818,1.57598394424274,unbiased,-5000,5000,-50,-71.4607201735243,1528.3586717207,-0.0843162412496942,3.69963683012666,unbiased,2.699837725867246,      235.000, 26837979.000,        1.564,     -103.844,        0.000,  4064090.000,       -3.706,       12.041,        1.000,   108000.000,        1.645,       -1.296,        2.000,    97618.000,        2.791,       -3.366,       48.000,  7046290.000,        1.202,      -15.208,      307.000, 32421657.000,        1.677,     -151.772,      344.000,633312376.000,       -2.447,     1102.467,        0.000,   262214.000,       -0.829,        0.776,      365.000,379745032.000,       -1.623,      387.099,        0.000,   362795.000,       -1.053,        1.074,        0.000,    91810.000,       -0.347,        0.272,       20.000,  2116204.000,        1.674,      -11.562,       85.000, 99407242.000,       -1.792,      109.025,      634.000, 37127885.000,        2.528,     -606.242,     3821.000,656162567.000,        0.976,     -979.933,     1748.000,781136470.000,       -0.404,      101.493,      760.000, 35959776.000,        2.835,     -868.454,       50.000,  2601653.000,        2.698,      -54.031,        0.000,      357.000,       -0.002,        0.001,        0.000,   121738.000,       -0.444,        0.360,      265.000,  9016270.000,        3.311,     -376.655,       22.000,  5482595.000,        0.439,       -2.309,      325.000,262236104.000,       -1.256,      183.666,       87.000, 34775236.000,       -0.243,        2.818,        0.000,   314391.000,       -0.949,        0.931,        0.000,   714206.000,       -1.639,        2.115,       24.000, 75528709.000,       -3.220,      150.686,        0.000,   202619.000,       -0.678,        0.600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  546.0,28874.0, 9146.0, 7282.0,   94.4,   20.1, 9692.0,36156.0,32968578,32453942,98.4,37,37,29192951,89.95194173946574,2461370,7.5841942405640586
SRR7942353,MapR,SRR7942355,TRUE,hg38,FALSE,RNA,RNaseH1,SRX4776636_MapR_U87T_rep1_tech1,38,GSM3406768,Sarma,HS,U87T,WT,NT,D210N,1a,Input,MNase,SRX4776636,MapR,MapR_U87T_Sarma_D210N_SRX4776636,0.590630563920956,1,0.653562277033985,0.728206071915511,0.157040427714559,0.938461056757991,2.05057557130916,unbiased,-5000,5000,0,-31.9898311632258,1361.01018827679,-0.0303820294263724,4.05475246673667,unbiased,2.699837725867246,      681.000, 26850479.000,        0.540,      -45.752,        0.000,  4070500.000,       -6.172,       71.042,        2.000,   108000.000,        0.086,       -0.577,        6.000,    97618.000,        1.817,       -4.822,      315.000,  7050578.000,        1.357,     -107.913,     1138.000, 32472582.000,        1.007,     -229.273,     3303.000,633852654.000,       -1.743,     4428.687,        1.000,   262886.000,       -2.197,        2.865,     3300.000,380023872.000,       -1.006,     1145.447,        6.000,   362795.000,       -0.077,        0.591,        8.000,    92061.000,        2.317,       -8.230,       24.000,  2132496.000,       -0.632,        4.255,     1520.000, 99475119.000,       -0.191,       16.885,     1213.000, 37169633.000,        0.904,     -201.965,    17032.000,656489074.000,        0.573,    -1570.160,    13044.000,782065142.000,       -0.064,       20.307,     6405.000, 36014525.000,        3.350,    -9426.174,      450.000,  2604187.000,        3.309,     -632.786,        0.000,      357.000,       -0.009,        0.006,        0.000,   121838.000,       -1.644,        2.125,     1360.000,  9037387.000,        3.109,    -1746.401,       82.000,  5487187.000,       -0.223,        2.454,     3531.000,262481319.000,       -0.375,      144.664,      365.000, 34932846.000,       -0.739,       60.782,        5.000,   314577.000,       -0.134,        0.633,        8.000,   714502.000,       -0.639,        2.064,      106.000, 75854614.000,       -3.642,      966.576,        3.000,   204565.000,       -0.250,        0.650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11760.0, 4458.0,53926.0,47861.0,   82.1,   91.5,65686.0,52319.0,26781366,26307268,98.2,37,37,23827083,90.57224414180902,858057,3.2616727818335223
SRR7942354,MapR,SRR7942356,TRUE,hg38,FALSE,RNA,RNaseH1,SRX4776637_MapR_U87T_rep1_tech2,38,GSM3406769,Sarma,HS,U87T,WT,NT,D210N,1b,Input,MNase,SRX4776637,MapR,MapR_U87T_Sarma_D210N_SRX4776637,0.599171363953495,1,0.671405461232394,0.735772856917508,0.15071250694859,0.913908981455578,2.08518652865807,unbiased,-5000,5000,0,23.260566699005,1324.98009866056,0.0881345283018528,4.60347734853603,unbiased,2.699837725867246,      460.000, 26843880.000,        0.424,      -20.905,        1.000,  4072386.000,       -5.700,       48.063,        2.000,   108000.000,        0.536,       -0.914,        3.000,    97618.000,        1.267,       -2.034,      231.000,  7050628.000,        1.359,      -80.098,      795.000, 32467070.000,        0.939,     -142.572,     2212.000,633770866.000,       -1.871,     3535.559,        2.000,   262886.000,       -0.747,        1.055,     2005.000,379965141.000,       -1.275,     1193.154,        2.000,   362795.000,       -1.212,        1.838,        6.000,    91997.000,        2.353,       -6.609,       22.000,  2130954.000,       -0.307,        1.690,     1037.000, 99462304.000,       -0.292,       26.260,      785.000, 37165387.000,        0.726,      -89.211,    12420.000,656448660.000,        0.567,    -1124.568,     9466.000,781926731.000,       -0.077,       20.936,     5623.000, 36013618.000,        3.612,    -9278.018,      354.000,  2604066.000,        3.412,     -521.590,        0.000,      357.000,       -0.007,        0.005,        0.000,   121838.000,       -1.354,        1.556,     1108.000,  9023938.000,        3.265,    -1532.007,       50.000,  5485124.000,       -0.486,        4.912,     2571.000,262445690.000,       -0.382,      110.615,      218.000, 34864221.000,       -1.030,       75.140,        6.000,   314706.000,        0.578,       -1.524,        8.000,   714502.000,       -0.190,        0.822,       62.000, 75705106.000,       -3.963,      747.853,        1.000,   216927.000,       -1.470,        1.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1225.0,15612.0,39471.0,36577.0,   97.0,   70.1,40696.0,52189.0,21450562,21141524,98.6,37,37,19148046,90.57079328812814,616256,2.9149081210985543
SRR7942357,MapR,SRR7942358,TRUE,hg38,FALSE,RNA,RNaseH1,SRX4776640_MapR_U87T_rep2,38,GSM3406772,Sarma,HS,U87T,WT,NT,D210N,2,Input,MNase,SRX4776640,MapR,MapR_U87T_Sarma_D210N_SRX4776640,0.634727348072115,1,0.676451556344898,0.754467969777058,0.140886374376263,0.842689824533907,1.87206518366489,unbiased,-5000,5000,0,49.9356561307277,1463.56604706772,0.179548267064969,4.13923941338893,unbiased,2.699837725867246,      579.000, 26846383.000,        0.698,      -61.737,        1.000,  4068680.000,       -5.758,       50.131,        3.000,   108000.000,        1.063,       -1.741,        5.000,    97618.000,        1.945,       -4.547,      236.000,  7049424.000,        1.332,      -79.030,      988.000, 32464400.000,        1.194,     -269.310,     2100.000,633656297.000,       -2.005,     3989.474,        0.000,   262886.000,       -2.169,        3.496,     2066.000,379943855.000,       -1.290,     1263.634,        1.000,   362795.000,       -2.270,        3.063,        5.000,    92061.000,        2.030,       -4.780,       37.000,  2130954.000,        0.385,       -2.702,      722.000, 99450284.000,       -0.873,      171.449,     1123.000, 37165447.000,        1.184,     -301.684,    13194.000,656418003.000,        0.596,    -1313.278,     9861.000,781725952.000,       -0.076,       21.318,     5697.000, 36005717.000,        3.573,    -9245.424,      427.000,  2603342.000,        3.625,     -686.139,        0.000,      357.000,       -0.007,        0.005,        1.000,   121838.000,       -0.696,        0.657,     1430.000,  9025087.000,        3.575,    -2258.882,       74.000,  5483716.000,        0.021,       -0.765,     2142.000,262389364.000,       -0.704,      329.760,      273.000, 34802233.000,       -0.762,       48.992,        2.000,   314472.000,       -1.064,        1.548,        7.000,   714502.000,       -0.441,        1.315,      113.000, 75603043.000,       -3.153,      658.415,        2.000,   202700.000,       -0.431,        0.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 5108.0,18216.0,41100.0,34669.0,   88.9,   65.6,46208.0,52885.0,27360920,26977184,98.6,37,37,24565866,91.06163934679023,950851,3.524648829173571
SRR7942359,MapR,SRR7942360,TRUE,hg38,FALSE,RNA,RNaseH1,SRX4776642_MapR_U87T_100K,38,GSM3406774,Sarma,HS,U87T,WT,NT100K,D210N,0,Input,MNase,SRX4776642,MapR,MapR_U87T_Sarma_D210N_SRX4776642,0.598312833598957,1,0.653811099763723,0.707355094337424,0.124152033983752,1.44193268233401,5.01311014135579,unbiased,-5000,5000,0,-76.5953056260487,1474.57092673421,-0.0801942384658328,4.43836771270152,unbiased,2.699837725867246,      113.000, 26837979.000,        0.924,      -21.708,        0.000,  4064247.000,       -3.326,        9.023,        0.000,   108000.000,       -0.310,        0.240,        1.000,    97618.000,        2.207,       -1.636,       51.000,  7045763.000,        1.706,      -27.564,      228.000, 32417655.000,        1.665,     -112.048,      154.000,633335121.000,       -3.190,     1047.686,        0.000,   262214.000,       -0.662,        0.582,      183.000,379753115.000,       -2.203,      418.290,        0.000,   362795.000,       -0.852,        0.805,        0.000,    91738.000,       -0.267,        0.204,       11.000,  2114063.000,        1.230,       -4.725,       50.000, 99404993.000,       -2.141,      101.129,      260.000, 37127885.000,        1.658,     -126.897,     2036.000,656141652.000,        0.484,     -138.714,     1455.000,781202607.000,       -0.252,       33.898,     1596.000, 35957652.000,        4.322,    -3453.955,       89.000,  2601653.000,        3.947,     -163.845,        0.000,      357.000,       -0.001,        0.001,        0.000,   121838.000,       -0.345,        0.270,      438.000,  9016044.000,        4.453,     -950.772,        8.000,  5481820.000,       -0.604,        1.934,      125.000,262240588.000,       -2.219,      283.910,       39.000, 34776223.000,       -0.984,       13.728,        0.000,   314496.000,       -0.764,        0.698,        1.000,   714206.000,       -0.664,        0.635,       14.000, 75577183.000,       -3.582,      122.820,        1.000,   202619.000,        1.154,       -1.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  402.0,25019.0, 6853.0, 5911.0,   94.5,   19.1, 7255.0,30930.0,33422806,32860156,98.3,37,37,29497162,89.76573939575941,887551,2.700994480975684
SRR7942361,MapR,SRR7942362,TRUE,hg38,FALSE,RNA,RNaseH1,SRX4776644_MapR_U87T_RH_rep1,38,GSM3406776,Sarma,HS,U87T,WT,exoRNH,RNH,1,Input,MNase,SRX4776644,MapR,MapR_U87T_Sarma_RNH_SRX4776644,0.60076004567901,0.920692793836984,0.699269372665339,0.736517595098702,0.126560338932145,0.535985718670898,1.2954238701976,unbiased,-5000,5000,0,-49.5407293657569,1410.04520473313,-0.142517742839744,4.15905923320836,unbiased,2.699837725867246,      320.000, 26846383.000,        0.537,      -22.494,        0.000,  4067175.000,       -5.107,       33.439,        0.000,   108000.000,       -0.916,        0.887,        3.000,    97618.000,        1.903,       -3.042,      142.000,  7049424.000,        1.294,      -46.281,      658.000, 32460125.000,        1.303,     -209.630,     1177.000,633573111.000,       -2.145,     2660.584,        0.000,   262886.000,       -1.660,        2.160,     1153.000,379907348.000,       -1.437,      908.680,        1.000,   362795.000,       -1.576,        1.599,        2.000,    91997.000,        1.404,       -1.740,       20.000,  2122997.000,        0.197,       -1.202,      383.000, 99442499.000,       -1.093,      150.945,      577.000, 37165447.000,        0.918,     -100.357,     8171.000,656397088.000,        0.599,     -823.813,     6570.000,781597070.000,        0.033,       -4.093,     3690.000, 36002414.000,        3.641,    -6163.690,      243.000,  2603342.000,        3.506,     -373.456,        0.000,      357.000,       -0.004,        0.003,        0.000,   121738.000,       -1.000,        1.000,      841.000,  9018345.000,        3.505,    -1291.978,       37.000,  5482743.000,       -0.284,        2.052,     1187.000,262341567.000,       -0.861,      283.926,      164.000, 34798435.000,       -0.802,       33.685,        0.000,   314472.000,       -1.842,        2.584,        4.000,   714502.000,       -0.554,        1.195,       39.000, 75538648.000,       -3.992,      483.193,        0.000,   202700.000,       -1.414,        1.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  803.0,23069.0,25391.0,20002.0,   96.9,   46.4,26194.0,43071.0,37531294,36996780,98.6,37,37,33554459,90.69561999719976,1263048,3.413940348322205
SRR7942363,MapR,SRR7942364,TRUE,hg38,FALSE,RNA,RNaseH1,SRX4776646_MapR_U87T_RH_rep2,38,GSM3406778,Sarma,HS,U87T,WT,exoRNH,RNH,2,Input,MNase,SRX4776646,MapR,MapR_U87T_Sarma_RNH_SRX4776646,0.622596315103369,0.929771474844268,0.700154667508008,0.743929072818258,0.126071489541006,0.60635682265113,1.32688787112492,unbiased,-5000,5000,0,-14.5515242222559,1442.82409920623,0.0115127764058991,4.10973210017312,unbiased,2.699837725867246,      517.000, 26849856.000,        0.599,      -42.356,        1.000,  4070342.000,       -5.693,       47.812,        0.000,   108000.000,       -1.247,        1.373,        6.000,    97618.000,        2.273,       -6.335,      260.000,  7050578.000,        1.536,     -110.174,      962.000, 32472711.000,        1.221,     -272.369,     2027.000,633710672.000,       -1.991,     3784.214,        2.000,   262548.000,       -0.739,        1.044,     2015.000,379978213.000,       -1.261,     1169.952,        0.000,   362795.000,       -2.489,        4.612,        3.000,    91884.000,        1.361,       -2.174,       32.000,  2127494.000,        0.243,       -1.644,      714.000, 99463020.000,       -0.825,      149.738,     1041.000, 37170795.000,        1.139,     -261.706,    12521.000,656466038.000,        0.585,    -1203.936,     9815.000,781874956.000,       -0.018,        2.596,     5227.000, 36013424.000,        3.513,    -8269.733,      370.000,  2604405.000,        3.482,     -561.405,        0.000,      357.000,       -0.007,        0.005,        0.000,   121838.000,       -1.350,        1.549,     1202.000,  9023364.000,        3.389,    -1756.178,       80.000,  5485029.000,        0.198,       -2.103,     2072.000,262431110.000,       -0.687,      303.032,      323.000, 34805449.000,       -0.454,       20.523,        5.000,   314669.000,        0.322,       -0.991,        6.000,   714502.000,       -0.598,        1.613,       77.000, 75660747.000,       -3.643,      703.567,        1.000,   202700.000,       -1.366,        1.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 2398.0,16821.0,39297.0,29414.0,   94.2,   63.6,41695.0,46235.0,37479294,36946490,98.6,37,37,33448897,90.5333551306227,1465446,3.9664011385113986
SRR7942365,MapR,SRR7942366,TRUE,hg38,FALSE,RNA,RNaseH1,SRX4776648_MapR_U87T_ActD_rep1,38,GSM3406780,Sarma,HS,U87T,WT,ActD,ACTD,1,Input,MNase,SRX4776648,MapR,MapR_U87T_Sarma_ACTD_SRX4776648,0.383903247481862,0.636145352309605,0.502927290550478,0.494687666485555,0.07542459853241,0.142850948241305,2.92582285578988,unbiased,-5000,5000,0,-142.581601289395,2264.54146157466,-0.0661023881647628,2.7937378034843,unbiased,2.699837725867246,        1.000, 17075487.000,        0.848,       -0.849,        0.000,  2503232.000,       -0.113,        0.081,        0.000,    62172.000,       -0.003,        0.002,        0.000,    66754.000,       -0.003,        0.002,        1.000,  4490197.000,        2.775,       -1.995,        3.000, 20990136.000,        2.135,       -3.468,        2.000,350150309.000,       -2.510,        7.947,        0.000,   168113.000,       -0.008,        0.005,        2.000,233956529.000,       -1.928,        4.299,        0.000,   209617.000,       -0.010,        0.007,        0.000,    49786.000,       -0.002,        0.002,        0.000,  1367457.000,       -0.063,        0.045,        0.000, 57673852.000,       -1.555,        1.907,        7.000, 24143749.000,        3.156,      -11.197,       21.000,400093537.000,        0.690,       -4.418,       10.000,423249192.000,       -0.461,        1.857,        3.000, 23311972.000,        1.984,       -3.206,        0.000,  1675145.000,       -0.077,        0.055,        0.000,      318.000,        0.000,        0.000,        0.000,    75213.000,       -0.004,        0.002,        3.000,  5617839.000,        4.037,       -7.073,        0.000,  3192152.000,       -0.143,        0.104,        1.000,145607808.000,       -2.244,        3.124,        1.000, 19843593.000,        0.631,       -0.739,        0.000,   187367.000,       -0.009,        0.006,        0.000,   417036.000,       -0.019,        0.014,        3.000, 45578674.000,        1.017,       -1.687,        0.000,   135987.000,       -0.006,        0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    2.0,44171.0,   58.0,   58.0,   96.7,    0.1,   60.0,44229.0,46699798,45958374,98.4,37,37,41505195,90.31040784863276,1616311,3.516902055760284
SRR9667901,ssDRIP,NA,TRUE,hg38,TRUE,DNA,S9.6,SRX6428486_shCTRL_ssDRIP_rep1,150,GSM3937232,Yang,HS,HeLa,shCTRL,NT,S9.6,1,None,RES,SRX6428486,ssDRIP,ssDRIP_HeLa_Yang_S9.6_SRX6428486,0.242976070755792,1,0.745335797205303,0.692752239987231,0.266808623091948,-0.446444501742792,1.7147516177757,unbiased,-5000,5000,350,471.574228172859,2078.38232538921,-0.0354069522853882,2.87477804689146,unbiased,2.699837725867246,     1199.000, 27422055.000,       -0.174,       11.507,      175.000,  4198976.000,       -0.243,        4.399,       21.000,   110051.000,        1.952,      -15.004,        2.000,   100095.000,       -1.304,        2.040,      240.000,  7367223.000,       -0.599,       26.490,     1852.000, 34069775.000,        0.140,      -10.896,    42921.000,643443494.000,        0.435,    -2298.069,      113.000,   268473.000,        3.093,     -145.688,    46134.000,387889254.000,        1.270,   -16481.051,        7.000,   364987.000,       -1.363,        5.849,       13.000,   103053.000,        1.355,       -6.065,       63.000,  2363235.000,       -0.888,       17.052,     2928.000,100797826.000,       -0.764,      511.719,     1884.000, 38598289.000,       -0.015,        1.119,    26714.000,666397975.000,       -0.299,      774.123,    14390.000,794278479.000,       -1.445,    12861.874,     1865.000, 37855523.000,       -0.002,        0.728,      151.000,  2685400.000,        0.189,       -2.798,        0.000,      357.000,       -0.025,        0.018,       44.000,   125855.000,        2.825,      -51.041,      704.000,  9418090.000,        0.600,      -56.490,     1766.000,  5609458.000,        2.674,    -1795.579,     5924.000,267203583.000,       -1.154,     2706.577,     5642.000, 35833801.000,        1.674,    -2727.653,      146.000,   322417.000,        3.198,     -196.931,       14.000,   718458.000,       -1.340,       10.209,      181.000, 76969748.000,       -4.391,     3111.496,       82.000,   235550.000,        2.819,      -92.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 10771.0, 96647.0, 60380.0, 58599.0,    84.9,    37.7, 71151.0,155246.0,173498304,160397028,92.4,145,145,137411434,85.66956365301233,50860144,31.70890672612712
SRR9667902,ssDRIP,NA,TRUE,hg38,TRUE,DNA,S9.6,SRX6428487_shCTRL_ssDRIP_rep2,150,GSM3937233,Yang,HS,HeLa,shCTRL,NT,S9.6,2,None,RES,SRX6428487,ssDRIP,ssDRIP_HeLa_Yang_S9.6_SRX6428487,0.261219918345849,1,0.765896782009502,0.701353113627364,0.258372711147192,-0.483280989494131,1.76747375476648,unbiased,-5000,5000,950,878.991147442666,2686.96359392616,-0.49010094037609,2.4097073324058,unbiased,2.699837725867246,     1195.000, 27481577.000,       -0.180,       12.101,      155.000,  4216866.000,       -0.422,        9.456,       22.000,   110275.000,        2.018,      -16.411,        3.000,   100350.000,       -0.720,        1.297,      252.000,  7404612.000,       -0.533,       22.108,     1791.000, 34242750.000,        0.087,       -5.160,    43731.000,644300616.000,        0.463,    -2635.408,      124.000,   269091.000,        3.226,     -169.787,    46334.000,388464046.000,        1.276,   -16708.664,        6.000,   365308.000,       -1.584,        6.859,       10.000,   104713.000,        0.955,       -3.273,       63.000,  2357329.000,       -0.882,       16.824,     3011.000,100930377.000,       -0.723,      467.030,     1849.000, 38760247.000,       -0.046,        2.463,    26086.000,667180780.000,       -0.333,      939.882,    14243.000,795947177.000,       -1.461,    13052.046,     1855.000, 38067443.000,       -0.015,        1.114,      137.000,  2700566.000,        0.043,       -0.979,        0.000,      357.000,       -0.025,        0.018,       29.000,   126250.000,        2.222,      -24.252,      637.000,  9421689.000,        0.457,      -31.811,     1734.000,  5618364.000,        2.648,    -1736.400,     5823.000,267687578.000,       -1.179,     2794.233,     5647.000, 35856341.000,        1.677,    -2737.771,      154.000,   323245.000,        3.274,     -214.801,        9.000,   718186.000,       -1.975,       15.799,      181.000, 76971548.000,       -4.388,     3105.310,       90.000,   235708.000,        2.955,     -108.990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  9487.0, 98310.0, 58525.0, 56928.0,    86.1,    36.7, 68012.0,155238.0,142610590,137683036,96.5,145,145,118645357,86.17282161035438,42942915,31.189692098306143
