#'chr'	'start'	'end'	'SRX1070676_NT2_DRIPc-seq_rep_1.hg38.bw'	'SRX1070677_NT2_DRIPc-seq_rep_2.hg38.bw'	'SRX1070678_NT2_DRIP-seq_1.hg38.bw'	'SRX1070679_NT2_DRIP-seq_2.hg38.bw'	'SRX1070680_NT2_DRIP-seq_RNaseA.hg38.bw'	'SRX1070681_NT2_DRIP-seq_RNaseH.hg38.bw'	'SRX255721_NT2_DRIP-seq_1.hg38.bw'	'SRX255723_NT2_DRIP-seq_2_rep_1.hg38.bw'	'SRX255724_NT2_DRIP-seq_2_rep_2.hg38.bw'
chr11	65470000	65471000	0.12	0.06	2.21	0.12	2.29	0.33	0.2	1.1	0.88
chr11	65470000	65471000	0.12	0.06	2.21	0.12	2.29	0.33	0.2	1.1	0.88
chr11	65471000	65472000	0.12	0.24	1.81	1.33	1.27	0.1	0.26	0.56	0.17
chr11	65471000	65472000	0.12	0.24	1.81	1.33	1.27	0.1	0.26	0.56	0.17
chr11	65472000	65473000	0.0	0.0	1.04	0.92	0.25	0.0	0.66	0.27	0.31
chr11	65472000	65473000	0.0	0.0	1.04	0.92	0.25	0.0	0.66	0.27	0.31
chr11	65473000	65473804	0.14925373134328357	0.07462686567164178	2.0323383084577116	0.5970149253731343	1.4577114427860696	0.5895522388059702	0.572139303482587	0.5845771144278606	0.1791044776119403
chr11	65473000	65474000	0.12	0.06	1.67	0.48	1.5	0.54	0.46	0.47	0.17
chr11	65474000	65475000	0.05	0.18	1.69	0.87	1.44	0.59	0.58	0.31	0.35
chr11	65475000	65476000	0.17	0.0	2.61	0.62	2.53	0.39	0.49	0.17	0.22
chr11	65476000	65477000	0.12	0.11	1.13	1.16	1.81	0.85	0.15	0.49	0.59
chr11	65477000	65478000	0.65	0.18	2.43	1.26	1.5	0.46	0.67	0.8	0.4
chr11	65478000	65479000	0.17	0.24	1.57	1.29	1.71	0.53	0.25	0.36	0.35
chr11	65479000	65480000	0.0	0.06	2.34	0.4	0.85	0.37	0.54	0.53	0.6
chr11	65480000	65481000	0.0	0.11	0.35	0.12	0.77	0.12	0.31	0.3	0.32
chr11	65481000	65482000	0.0	0.0	0.48	0.03	0.86	0.77	0.36	0.71	0.39
chr11	65482000	65483000	0.0	0.06	0.55	0.32	0.32	0.22	0.41	0.89	0.43
chr11	65483000	65484000	0.0	0.0	0.42	0.0	0.67	0.54	0.19	0.81	0.2
chr11	65484000	65485000	0.0	0.0	0.47	0.04	1.16	0.75	0.54	0.6	0.23
chr11	65485000	65486000	0.05	0.06	0.78	0.09	1.36	1.56	0.45	0.76	0.28
chr11	65486000	65487000	0.09	0.0	0.75	0.47	1.78	1.7	0.65	0.42	0.1
chr11	65487000	65488000	0.15	0.0	1.07	0.7	4.16	0.34	1.01	0.57	0.46
chr11	65488000	65489000	0.11	0.12	1.04	0.66	2.33	0.11	1.4	0.61	0.62
chr11	65489000	65490000	0.12	0.0	1.1	0.37	1.58	0.32	0.66	0.9	0.31
chr11	65490000	65491000	0.0	0.06	0.75	0.44	0.98	0.36	0.47	0.51	0.46
chr11	65491000	65492000	0.0	0.06	0.83	0.06	1.19	0.61	0.36	0.61	0.45
chr11	65492000	65493000	0.18	0.12	0.29	0.45	1.82	1.09	0.81	0.25	0.32
chr11	65493000	65494000	0.0	0.0	1.05	0.72	0.59	0.78	0.68	0.68	0.73
chr11	65494000	65495000	0.06	0.06	0.75	0.0	0.54	0.22	0.59	0.91	0.61
chr11	65495000	65496000	0.05	0.0	0.12	0.18	0.07	0.33	0.32	0.32	0.43
chr11	65496000	65497000	0.06	0.01	0.45	0.37	0.44	0.36	0.27	0.36	0.38
chr11	65497000	65498000	0.12	0.06	1.26	0.88	1.45	0.41	0.45	0.31	0.37
chr11	65498000	65499000	0.68	0.39	4.2	6.88	3.02	0.52	0.48	0.92	0.79
chr11	65499000	65500000	4.9	4.73	11.45	5.63	14.83	1.1	0.69	1.32	0.95
chr11	65500000	65501000	15.71	12.3	11.31	11.3	53.0	1.93	1.7	2.31	1.27
chr11	65501000	65502000	0.8	2.48	2.85	12.7	2.1	0.54	0.45	2.62	1.68
chr11	65502000	65503000	1.11	3.76	5.0	12.45	9.5	1.18	1.04	2.31	1.52
chr11	65503000	65504000	2.15	4.15	6.19	6.05	9.22	1.29	0.95	0.7	0.68
chr11	65504000	65505000	1.11	1.84	5.3	2.64	7.76	0.51	1.63	0.72	0.72
chr11	65505000	65506000	0.66	2.27	6.06	1.41	5.51	0.57	1.41	0.34	0.6
chr11	65506000	65507000	0.18	0.32	4.97	1.8	6.16	0.63	0.99	0.15	0.31
chr11	65507000	65508000	0.18	0.0	4.51	0.23	4.42	0.66	0.71	1.29	0.9
chr11	65508000	65509000	0.0	0.0	1.13	0.11	1.93	0.63	0.61	0.86	0.31
chr11	65509000	65510000	0.12	0.17	0.67	0.21	1.25	0.41	0.71	0.7	0.93
chr11	65510000	65511000	0.06	0.12	0.6	0.17	1.42	0.88	0.27	0.44	0.15
chr11	65511000	65512000	0.0	0.11	0.58	0.2	0.81	0.69	0.26	0.6	0.24
chr11	65512000	65513000	0.05	0.18	0.55	0.01	0.83	0.39	0.16	0.43	0.3
chr11	65513000	65514000	0.06	0.06	0.29	0.11	0.76	0.55	0.36	0.29	0.26
chr11	65514000	65515000	0.0	0.0	0.58	0.16	2.65	2.12	0.26	0.39	0.16
chr11	65515000	65516000	0.0	0.12	1.01	0.28	7.15	8.45	0.68	0.32	0.41
chr11	65516000	65517000	0.05	0.0	2.09	1.22	5.9	3.99	0.92	1.71	0.85
chr11	65517000	65518000	0.12	0.11	1.59	0.96	6.0	7.44	0.82	0.9	0.5
chr11	65518000	65519000	0.0	0.06	0.72	0.18	6.86	5.97	0.71	0.3	0.31
chr11	65519000	65520000	0.0	0.12	1.11	0.82	2.28	3.74	0.39	0.74	0.41
chr11	65520000	65521000	0.12	0.0	0.93	0.12	1.57	4.26	0.37	0.23	0.25
chr11	65521000	65522000	0.0	0.06	0.18	0.06	0.58	0.28	0.16	0.0	0.0
chr11	65522000	65523000	0.0	0.0	1.56	0.06	1.86	0.67	0.35	0.27	0.0
chr11	65523000	65524000	0.06	0.06	3.62	0.18	5.98	0.37	0.74	0.32	0.18
chr11	65524000	65525000	0.18	0.18	4.66	2.76	2.92	0.4	1.14	0.93	0.72
chr11	65525000	65526000	0.18	0.12	2.87	2.86	1.67	0.55	1.18	1.38	0.95
chr11	65526000	65527000	0.18	0.53	5.35	3.25	2.72	0.64	1.67	1.35	0.52
chr11	65527000	65528000	0.78	0.79	5.29	3.2	4.28	0.88	1.34	0.7	0.75
chr11	65528000	65529000	0.96	0.6	8.66	5.03	15.28	0.77	1.09	1.93	1.04
chr11	65529000	65530000	1.0	0.88	17.41	7.89	19.05	0.43	3.65	2.01	1.14
chr11	65530000	65531000	0.86	0.52	19.24	4.17	19.41	0.58	3.68	1.05	0.6
chr11	65531000	65532000	1.55	0.64	18.77	4.4	20.39	0.62	3.72	1.77	1.11
chr11	65532000	65533000	0.58	0.19	10.98	3.03	10.63	0.44	1.69	0.79	0.49
chr11	65533000	65534000	0.94	0.42	9.1	7.17	10.31	0.55	1.29	1.17	0.31
chr11	65534000	65535000	1.27	1.03	8.24	4.67	7.85	0.22	1.19	1.12	0.62
chr11	65535000	65536000	1.3	0.77	17.01	6.97	14.05	0.53	1.79	1.27	0.75
chr11	65536000	65537000	1.71	1.41	17.96	5.95	14.03	0.53	2.35	0.68	0.33
chr11	65537000	65538000	1.09	0.57	11.64	7.75	9.12	0.47	1.13	1.49	0.9
chr11	65538000	65539000	0.73	0.47	9.79	11.98	9.42	0.19	1.25	2.31	1.67
chr11	65539000	65540000	0.35	0.34	11.6	6.7	4.26	0.0	1.19	3.02	1.39
chr11	65540000	65541000	0.71	0.48	12.23	10.48	7.92	0.11	1.48	1.54	1.17
chr11	65541000	65542000	0.63	0.11	12.58	6.37	10.07	0.11	1.41	0.72	0.81
chr11	65542000	65543000	0.63	0.32	2.38	2.59	2.34	0.33	0.83	0.74	1.01
chr11	65543000	65544000	1.28	0.93	6.6	3.32	1.88	0.33	0.55	0.85	0.67
chr11	65544000	65545000	4.73	2.84	3.79	4.22	2.45	0.82	0.8	1.09	0.97
chr11	65545000	65546000	3.38	1.81	5.51	6.12	3.03	0.52	0.95	1.08	0.94
chr11	65546000	65547000	0.93	0.98	12.7	6.45	5.58	1.55	1.24	1.7	0.91
chr11	65547000	65548000	1.08	0.68	11.87	5.49	5.56	2.03	0.91	1.17	0.54
chr11	65548000	65549000	2.41	1.25	16.43	8.54	8.1	2.47	1.65	0.84	0.73
chr11	65549000	65549132	0.9090909090909091	1.303030303030303	15.863636363636363	1.0	7.863636363636363	3.1666666666666665	2.121212121212121	0.09090909090909091	0.0
chr11	65666761	65667000	0.0	0.0794979079497908	0.4602510460251046	0.502092050209205	0.0	0.9163179916317992	0.20920502092050208	0.12552301255230125	0.497907949790795
chr11	65667000	65668000	0.0	0.06	0.54	0.16	0.44	0.66	0.16	0.13	0.32
chr11	65668000	65669000	0.06	0.0	0.1	0.19	1.48	0.9	0.2	0.26	0.37
chr11	65669000	65670000	0.0	0.12	0.43	0.18	0.49	0.82	0.43	0.35	0.37
chr11	65670000	65671000	0.0	0.0	0.48	0.2	0.22	0.45	0.16	0.49	0.3
chr11	65671000	65672000	0.12	0.28	0.48	0.51	0.26	0.43	0.49	0.22	0.05
chr11	65672000	65673000	0.17	0.07	0.29	0.22	0.88	0.44	0.5	0.25	0.47
chr11	65673000	65674000	0.06	0.0	0.37	0.28	0.36	0.1	0.17	0.12	0.25
chr11	65674000	65675000	0.0	0.06	0.35	0.23	0.74	0.33	0.4	0.55	0.78
chr11	65675000	65676000	0.06	0.06	0.19	0.06	0.26	0.79	0.35	0.23	0.26
chr11	65676000	65677000	0.06	0.06	0.21	0.23	0.67	0.44	0.26	0.21	0.32
chr11	65677000	65678000	0.0	0.0	0.29	0.12	0.52	0.45	0.25	0.3	0.33
chr11	65678000	65679000	0.0	0.0	0.24	0.24	0.58	0.64	0.34	0.25	0.28
chr11	65679000	65680000	0.12	0.0	0.54	0.18	0.8	0.44	0.41	0.25	0.03
chr11	65680000	65681000	0.06	0.0	0.6	0.29	1.58	1.49	0.56	0.36	0.36
chr11	65681000	65682000	0.0	0.05	0.36	0.23	1.35	0.57	0.28	0.21	0.1
chr11	65682000	65683000	0.06	0.05	1.13	0.06	1.64	2.12	0.35	0.5	0.24
chr11	65683000	65684000	0.0	0.06	0.49	0.35	2.67	1.16	0.59	0.33	0.23
chr11	65684000	65685000	0.0	0.0	0.61	0.12	1.11	0.66	0.25	0.32	0.2
chr11	65685000	65686000	0.06	0.0	0.46	0.06	0.11	0.32	0.52	0.27	0.28
chr11	65686000	65687000	0.0	0.0	0.2	0.17	0.43	0.11	0.51	0.36	0.19
chr11	65687000	65688000	0.06	0.06	0.4	0.06	0.12	0.11	0.15	0.35	0.41
chr11	65688000	65689000	0.18	0.0	0.16	0.12	0.31	0.41	0.41	0.32	0.21
chr11	65689000	65690000	0.0	0.0	0.2	0.06	0.37	0.49	0.17	0.2	0.2
chr11	65690000	65691000	0.0	0.06	0.12	0.17	0.41	0.71	0.24	0.33	0.36
chr11	65691000	65692000	0.12	0.06	0.58	0.18	3.76	2.79	0.53	0.53	0.2
chr11	65692000	65693000	0.06	0.0	0.6	0.12	6.67	3.12	0.61	0.37	0.19
chr11	65693000	65694000	0.17	0.0	0.59	0.42	3.59	2.25	0.36	0.4	0.42
chr11	65694000	65695000	0.0	0.0	0.57	0.0	3.0	1.2	0.67	0.58	0.27
chr11	65695000	65696000	0.0	0.0	0.42	0.36	1.27	0.77	0.36	0.23	0.16
chr11	65696000	65697000	0.06	0.1	0.28	0.24	1.27	0.61	0.45	0.14	0.11
chr11	65697000	65698000	0.06	0.0	0.42	0.12	1.2	0.81	0.33	0.06	0.22
chr11	65698000	65699000	0.06	0.0	0.18	0.36	2.14	0.71	0.68	0.41	0.22
chr11	65699000	65700000	0.12	0.06	0.66	0.34	1.02	0.39	0.21	0.42	0.14
chr11	65700000	65701000	0.06	0.06	0.18	0.28	0.7	0.16	0.32	0.19	0.34
chr11	65701000	65702000	0.0	0.0	0.42	0.0	0.45	0.42	0.3	0.19	0.1
chr11	65702000	65703000	0.0	0.0	0.8	0.18	0.65	0.72	0.23	0.25	0.36
chr11	65703000	65704000	0.0	0.05	0.31	0.12	0.64	0.78	0.55	0.25	0.1
chr11	65704000	65705000	0.0	0.22	0.31	0.54	0.24	0.2	0.2	0.3	0.43
chr11	65705000	65706000	0.18	0.0	0.4	0.1	0.77	0.11	0.5	0.29	0.31
chr11	65706000	65707000	0.05	0.06	0.24	0.06	0.1	0.22	0.06	0.29	0.04
chr11	65707000	65708000	0.63	0.18	2.06	0.35	0.57	0.62	0.42	0.27	0.14
chr11	65708000	65709000	0.09	0.19	2.22	0.06	1.37	1.33	0.29	0.5	0.21
chr11	65709000	65710000	0.0	0.04	1.8	0.06	1.56	1.0	0.25	0.29	0.2
chr11	65710000	65711000	0.24	0.06	2.07	0.06	0.84	0.53	0.26	0.15	0.15
chr11	65711000	65712000	0.17	0.16	8.5	0.65	7.46	0.34	1.2	0.73	0.63
chr11	65712000	65713000	0.87	1.1	16.75	15.94	12.82	0.51	1.49	1.42	1.39
chr11	65713000	65714000	4.85	3.95	43.4	18.36	42.52	1.7	6.11	4.76	2.58
chr11	65714000	65715000	6.36	6.41	34.87	11.56	48.27	1.4	5.43	1.96	1.42
chr11	65715000	65716000	5.96	3.52	34.51	23.1	50.83	1.91	4.36	3.2	2.19
chr11	65716000	65717000	8.32	7.92	46.58	27.49	50.05	1.71	6.04	6.13	3.66
chr11	65717000	65718000	14.43	12.71	37.66	32.15	37.72	0.44	5.2	4.7	2.37
chr11	65718000	65719000	5.21	5.13	37.32	25.89	47.37	0.41	5.11	4.4	2.15
chr11	65719000	65720000	4.07	3.31	23.38	17.5	21.17	0.56	3.04	2.84	2.03
chr11	65720000	65721000	2.07	1.67	12.45	7.93	14.88	0.12	4.46	3.15	1.89
chr11	65721000	65722000	0.48	0.57	14.05	4.52	22.04	0.66	3.22	2.31	1.21
chr11	65722000	65723000	0.47	0.91	16.5	7.04	20.78	0.65	4.1	3.19	2.41
chr11	65723000	65724000	0.11	0.12	0.69	5.49	0.79	1.02	0.19	3.1	1.86
chr11	65724000	65725000	0.12	0.12	0.33	3.75	0.33	0.39	0.16	1.02	0.61
chr11	65725000	65726000	0.12	0.06	0.5	4.0	0.18	0.08	0.17	1.27	0.95
chr11	65726000	65727000	0.06	0.0	0.55	7.58	0.37	0.21	0.25	1.8	1.58
chr11	65727000	65728000	0.0	0.05	0.49	3.1	0.55	0.32	0.26	0.59	0.42
chr11	65728000	65729000	0.0	0.0	0.6	0.62	0.81	0.26	0.29	0.65	0.3
chr11	65729000	65730000	0.06	0.0	0.25	0.19	0.63	0.4	0.22	0.08	0.14
chr11	65730000	65731000	0.06	0.0	0.65	0.18	1.82	0.44	0.49	0.46	0.48
chr11	65731000	65732000	0.06	0.0	0.36	0.12	0.97	0.44	0.36	0.4	0.16
chr11	65732000	65733000	0.0	0.12	0.46	0.06	0.99	0.53	0.37	0.3	0.41
chr11	65733000	65734000	0.15	0.0	0.12	0.0	0.33	0.12	0.15	0.52	0.25
chr11	65734000	65735000	0.02	0.0	0.12	0.3	0.33	0.22	0.25	0.47	0.33
chr11	65735000	65736000	0.06	0.18	0.12	0.27	0.53	0.32	0.44	0.16	0.18
chr11	65736000	65737000	0.18	0.1	0.4	0.27	0.85	1.03	0.7	0.21	0.23
chr11	65737000	65738000	0.0	0.13	0.41	0.23	0.11	0.6	0.34	0.15	0.23
chr11	65738000	65739000	0.06	0.12	0.14	0.18	0.0	0.67	0.33	0.51	0.7
chr11	65739000	65740000	0.0	0.06	0.15	0.23	0.53	0.58	0.27	0.49	0.4
chr11	65740000	65741000	0.06	0.0	0.56	0.27	0.88	0.6	0.48	0.45	0.32
chr11	65741000	65742000	0.06	0.06	0.77	0.27	0.22	0.75	0.51	0.2	0.27
chr11	65742000	65743000	0.12	0.05	0.6	0.18	0.51	0.56	0.36	0.36	0.31
chr11	65743000	65744000	0.06	0.12	0.46	0.15	0.13	0.43	0.22	0.21	0.06
chr11	65744000	65745000	0.12	0.06	0.9	0.62	0.54	0.33	0.15	0.21	0.05
chr11	65745000	65746000	0.0	0.0	0.37	0.28	0.54	0.0	0.48	0.35	0.22
chr11	65746000	65747000	0.06	0.0	0.36	0.06	0.11	0.11	0.11	0.26	0.3
chr11	65747000	65748000	0.12	0.0	0.24	0.24	0.11	0.18	0.05	0.22	0.05
chr11	65748000	65749000	0.11	0.06	0.54	0.12	0.48	0.26	0.37	0.38	0.16
chr11	65749000	65750000	0.18	0.0	0.41	0.12	0.72	0.11	1.13	0.27	0.37
chr11	65750000	65751000	0.0	0.0	0.22	0.02	0.3	0.42	0.08	0.46	0.27
chr11	65751000	65752000	0.35	0.18	0.48	0.21	0.57	0.57	0.38	0.46	0.5
chr11	65752000	65753000	0.25	0.16	0.3	0.12	0.19	0.11	0.31	0.53	0.15
chr11	65753000	65754000	0.06	0.06	0.18	0.06	0.13	0.09	0.16	0.33	0.26
chr11	65754000	65755000	0.24	0.0	0.23	0.0	0.5	0.36	0.49	0.38	0.48
chr11	65755000	65756000	0.06	0.18	0.23	0.16	0.13	0.3	0.47	0.27	0.27
chr11	65756000	65757000	0.06	0.0	0.18	0.0	0.13	0.22	0.21	0.1	0.19
chr11	65757000	65758000	0.0	0.0	0.18	0.24	0.67	0.92	0.46	0.5	0.25
chr11	65758000	65759000	0.12	0.0	0.17	0.0	0.47	0.5	0.11	0.18	0.15
chr11	65759000	65760000	0.3	0.0	0.34	0.3	0.5	0.32	0.36	0.21	0.2
chr11	65760000	65761000	0.06	0.06	0.24	0.28	0.45	0.67	0.16	0.24	0.42
chr11	65761000	65762000	0.06	0.17	0.68	0.13	0.49	0.6	0.26	0.3	0.21
chr11	65762000	65763000	0.0	0.0	0.76	0.05	0.25	0.06	0.15	0.05	0.11
chr11	65763000	65764000	0.0	0.0	0.42	0.23	0.47	0.3	0.05	0.24	0.1
chr11	65764000	65765000	0.12	0.12	0.35	0.17	0.53	0.11	0.2	0.24	0.24
chr11	65765000	65766000	0.11	0.0	0.72	0.38	1.05	0.11	0.26	0.19	0.2
chr11	65766000	65766761	0.0	0.0	0.9329829172141918	0.5124835742444153	1.1314060446780552	0.709592641261498	0.3823915900131406	0.07884362680683311	0.5532194480946123
chr12	106935290	106936000	0.15492957746478872	0.0	0.3380281690140845	0.0	0.5774647887323944	0.0	0.2676056338028169	0.5774647887323944	0.23943661971830985
chr12	106936000	106937000	0.07	0.0	0.2	0.05	0.45	0.33	0.26	0.46	0.2
chr12	106937000	106938000	0.1	0.16	0.69	0.05	0.32	0.11	0.4	0.35	0.25
chr12	106938000	106939000	0.0	0.14	0.24	0.0	0.11	0.22	0.32	0.46	0.38
chr12	106939000	106940000	0.0	0.0	0.18	0.2	0.0	0.22	0.05	0.2	0.24
chr12	106940000	106941000	0.0	0.0	0.42	0.22	1.42	0.75	0.28	0.37	0.48
chr12	106941000	106942000	0.06	0.06	0.79	0.0	1.42	0.47	0.41	0.27	0.2
chr12	106942000	106943000	0.05	0.06	0.44	0.22	1.42	0.52	0.41	0.1	0.14
chr12	106943000	106944000	0.01	0.06	0.29	0.44	0.91	0.61	0.26	0.12	0.29
chr12	106944000	106945000	0.0	0.0	0.18	0.3	1.44	0.99	0.35	0.23	0.41
chr12	106945000	106946000	0.05	0.0	0.33	0.12	0.41	0.66	0.46	0.34	0.05
chr12	106946000	106947000	0.03	0.0	0.15	0.11	0.69	0.33	0.1	0.47	0.4
chr12	106947000	106948000	0.15	0.0	0.46	0.12	0.19	0.32	0.1	0.26	0.21
chr12	106948000	106949000	0.12	0.17	0.23	0.16	0.52	0.66	0.3	0.18	0.16
chr12	106949000	106950000	0.06	0.0	0.47	0.24	0.85	0.52	0.2	0.21	0.37
chr12	106950000	106951000	0.18	0.06	0.36	0.18	1.28	0.3	0.3	0.26	0.21
chr12	106951000	106952000	0.05	0.0	0.49	0.17	0.31	0.5	0.39	0.2	0.44
chr12	106952000	106953000	0.07	0.06	0.73	0.13	0.29	0.22	0.22	0.21	0.17
chr12	106953000	106954000	0.12	0.06	0.08	0.06	0.65	0.53	0.23	0.2	0.15
chr12	106954000	106955000	0.17	0.12	0.65	2.64	0.31	0.68	0.4	1.28	0.99
chr12	106955000	106956000	0.12	0.17	5.39	2.99	2.78	0.22	0.66	1.08	0.8
chr12	106956000	106957000	0.69	0.85	4.41	3.04	8.04	0.33	1.18	1.81	0.98
chr12	106957000	106958000	1.77	1.16	0.4	1.52	0.64	0.33	0.26	0.85	0.37
chr12	106958000	106959000	1.96	1.58	0.62	0.79	0.22	0.05	0.31	0.25	0.22
chr12	106959000	106960000	1.54	1.33	0.58	0.46	0.11	0.59	0.16	0.14	0.25
chr12	106960000	106961000	0.8	1.17	0.67	0.73	0.16	0.33	0.21	0.26	0.1
chr12	106961000	106962000	2.12	2.11	0.84	0.99	0.64	0.11	0.31	0.46	0.24
chr12	106962000	106963000	3.69	1.77	3.12	1.78	1.32	0.65	0.47	0.5	0.16
chr12	106963000	106964000	2.92	3.0	2.9	0.72	1.38	0.52	0.53	0.4	0.4
chr12	106964000	106965000	4.07	2.47	2.56	1.21	2.02	0.45	0.28	0.53	0.53
chr12	106965000	106966000	2.25	0.56	1.59	0.57	1.51	0.78	0.26	0.37	0.15
chr12	106966000	106967000	1.37	1.26	1.12	0.06	1.02	0.51	0.18	0.49	0.2
chr12	106967000	106968000	0.62	0.27	0.71	0.94	1.2	0.11	0.33	0.43	0.35
chr12	106968000	106969000	1.35	1.35	0.94	1.71	0.62	0.4	0.41	0.45	0.41
chr12	106969000	106970000	1.57	0.78	0.68	0.17	0.55	0.58	0.26	0.1	0.31
chr12	106970000	106971000	1.98	2.22	2.64	1.8	1.6	0.07	0.29	0.2	0.22
chr12	106971000	106972000	1.98	1.23	4.16	1.27	2.45	0.81	0.2	0.33	0.44
chr12	106972000	106973000	1.51	1.01	1.33	0.74	1.74	1.1	0.15	0.23	0.36
chr12	106973000	106974000	1.94	1.34	1.57	3.2	1.16	0.39	0.15	0.5	0.21
chr12	106974000	106975000	0.97	1.08	8.15	2.19	5.51	0.02	0.62	0.3	0.31
chr12	106975000	106976000	1.64	1.75	4.62	2.82	4.51	0.42	0.27	0.48	0.51
chr12	106976000	106977000	1.44	1.12	3.45	1.14	3.32	0.22	0.48	0.05	0.15
chr12	106977000	106978000	1.56	0.88	2.05	0.56	1.12	0.49	0.32	0.31	0.1
chr12	106978000	106979000	0.72	1.02	0.56	0.21	0.44	0.28	0.6	0.33	0.3
chr12	106979000	106980000	0.12	0.17	0.86	1.36	0.54	0.44	0.11	0.27	0.25
chr12	106980000	106981000	0.63	0.48	1.39	0.56	1.29	0.32	0.39	0.39	0.24
chr12	106981000	106982000	0.84	0.39	4.38	1.42	4.0	0.28	0.39	0.31	0.17
chr12	106982000	106983000	2.53	1.36	3.81	11.81	2.72	0.38	0.31	2.49	1.71
chr12	106983000	106984000	5.54	4.01	4.58	8.5	8.4	0.38	0.82	2.45	2.2
chr12	106984000	106985000	11.88	7.51	3.19	7.35	7.43	0.49	0.67	1.63	1.66
chr12	106985000	106986000	7.67	8.39	11.12	9.53	16.94	1.14	2.02	1.61	1.0
chr12	106986000	106987000	3.38	3.37	23.34	7.8	24.06	1.38	2.47	1.51	0.51
chr12	106987000	106988000	0.98	0.92	22.7	3.27	20.57	1.91	1.79	0.74	0.68
chr12	106988000	106989000	0.71	0.5	5.4	0.93	2.5	0.61	0.37	0.26	0.23
chr12	106989000	106990000	0.12	0.52	0.35	0.23	0.76	0.14	0.21	0.32	0.32
chr12	106990000	106991000	0.12	0.11	1.12	0.78	1.43	0.43	0.72	0.12	0.15
chr12	106991000	106992000	0.42	0.0	0.59	0.18	0.11	0.73	0.2	0.1	0.05
chr12	106992000	106993000	0.12	0.15	0.58	0.12	0.14	0.54	0.27	0.18	0.17
chr12	106993000	106994000	0.18	0.02	0.37	0.15	1.04	0.45	0.21	0.18	0.1
chr12	106994000	106995000	0.38	0.21	0.47	0.26	0.76	0.53	0.15	0.35	0.22
chr12	106995000	106996000	0.26	0.03	0.6	0.24	1.99	0.54	0.23	0.27	0.19
chr12	106996000	106997000	0.06	0.3	0.34	0.48	1.07	0.54	0.34	0.32	0.07
chr12	106997000	106998000	0.42	0.11	0.24	0.63	0.41	0.0	0.2	0.35	0.25
chr12	106998000	106999000	0.12	0.05	0.18	0.18	0.55	0.44	0.17	0.3	0.05
chr12	106999000	107000000	0.28	0.18	0.41	0.29	1.11	0.54	0.64	0.38	0.36
chr12	107000000	107001000	0.06	0.17	0.39	0.24	0.87	0.45	0.22	0.28	0.23
chr12	107001000	107002000	0.36	0.26	0.27	0.37	1.28	0.41	0.15	0.31	0.2
chr12	107002000	107003000	0.18	0.04	0.52	0.2	0.62	0.12	0.16	0.25	0.16
chr12	107003000	107004000	0.16	0.16	0.46	0.18	0.7	0.74	0.21	0.21	0.43
chr12	107004000	107005000	0.12	0.18	0.28	0.36	0.81	0.32	0.18	0.1	0.2
chr12	107005000	107006000	0.3	0.0	0.36	0.06	0.58	0.0	0.12	0.25	0.53
chr12	107006000	107007000	0.12	0.05	0.54	0.53	0.6	0.43	0.19	0.17	0.25
chr12	107007000	107008000	0.12	0.18	1.64	0.34	1.83	1.1	0.63	0.56	0.25
chr12	107008000	107009000	0.48	0.3	1.17	0.25	2.04	0.72	0.36	0.57	0.31
chr12	107009000	107010000	0.48	0.19	0.66	0.05	1.48	0.58	0.31	0.2	0.3
chr12	107010000	107011000	0.3	0.36	0.7	0.35	3.23	0.11	0.15	0.27	0.34
chr12	107011000	107012000	0.12	0.09	0.49	0.3	0.72	0.63	0.31	0.25	0.11
chr12	107012000	107013000	0.27	0.0	0.55	0.12	0.05	0.44	0.3	0.37	0.08
chr12	107013000	107014000	0.09	0.09	0.12	0.11	0.76	0.84	0.31	0.2	0.23
chr12	107014000	107015000	0.12	0.09	0.74	0.66	0.49	0.49	0.36	0.42	0.43
chr12	107015000	107016000	0.12	0.0	0.48	0.24	1.04	0.22	0.3	0.62	0.61
chr12	107016000	107017000	0.11	0.18	0.51	0.36	1.04	0.49	0.21	0.38	0.25
chr12	107017000	107018000	0.3	0.6	0.97	0.53	1.85	0.4	0.61	0.52	0.61
chr12	107018000	107019000	0.29	0.48	0.39	0.24	0.89	0.3	0.1	0.3	0.48
chr12	107019000	107020000	0.18	0.53	1.04	0.42	2.19	0.45	0.55	0.3	0.35
chr12	107020000	107021000	0.18	0.12	0.71	0.59	1.79	0.64	0.36	0.56	0.44
chr12	107021000	107022000	0.36	0.17	0.48	0.05	0.74	0.22	0.27	0.25	0.2
chr12	107022000	107023000	0.5	0.54	0.3	0.31	0.36	0.33	0.11	0.3	0.21
chr12	107023000	107024000	0.5	0.24	0.65	0.75	1.19	0.44	0.21	0.32	0.4
chr12	107024000	107025000	0.57	0.34	0.91	0.3	1.5	0.29	0.5	0.4	0.21
chr12	107025000	107026000	0.53	0.37	1.09	0.3	1.75	0.67	0.36	0.36	0.26
chr12	107026000	107027000	0.06	0.0	1.24	0.42	1.14	0.42	0.26	0.55	0.09
chr12	107027000	107028000	0.21	0.18	0.11	0.24	0.0	0.35	0.22	0.72	0.32
chr12	107028000	107029000	0.08	0.0	0.12	0.06	0.55	0.41	0.25	0.45	0.39
chr12	107029000	107030000	0.18	0.06	0.19	0.17	1.62	1.07	0.52	0.41	0.38
chr12	107030000	107031000	0.06	0.24	0.16	0.12	0.47	0.14	0.16	0.55	0.29
